UBIGEO,DE_DEPARTAMENTO,DE_PROVINCIA,DE_DISTRITO,PERSONAS_HOGAR,BONO_COBRADO
211101,PUNO,'SAN ROMAN',JULIACA,1,NO
150140,LIMA,LIMA,'SANTIAGO DE SURCO',3,NO
210101,PUNO,PUNO,PUNO,1,SI
40104,AREQUIPA,AREQUIPA,'CERRO COLORADO',1,SI
200601,PIURA,SULLANA,SULLANA,2,SI
230108,TACNA,TACNA,POCOLLAY,1,SI
80105,CUSCO,CUSCO,'SAN SEBASTIAN',1,SI
50601,AYACUCHO,LUCANAS,PUQUIO,1,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',4,SI
150133,LIMA,LIMA,'SAN JUAN DE MIRAFLORES',2,SI
40308,AREQUIPA,CARAVELI,CHAPARRA,2,SI
150125,LIMA,LIMA,'PUENTE PIEDRA',2,SI
150101,LIMA,LIMA,LIMA,3,SI
230101,TACNA,TACNA,TACNA,2,SI
130105,'LA LIBERTAD',TRUJILLO,'LA ESPERANZA',3,SI
220503,'SAN MARTIN',LAMAS,BARRANQUITA,1,SI
130102,'LA LIBERTAD',TRUJILLO,'EL PORVENIR',3,SI
200101,PIURA,PIURA,PIURA,2,SI
60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,1,SI
50101,AYACUCHO,HUAMANGA,AYACUCHO,2,SI
180301,MOQUEGUA,ILO,ILO,2,SI
150137,LIMA,LIMA,'SANTA ANITA',3,SI
130101,'LA LIBERTAD',TRUJILLO,TRUJILLO,5,SI
160112,LORETO,MAYNAS,BELEN,2,SI
250101,UCAYALI,'CORONEL PORTILLO',CALLERIA,1,SI
40117,AREQUIPA,AREQUIPA,SACHACA,4,SI
150121,LIMA,LIMA,'PUEBLO LIBRE',3,NO
80901,CUSCO,'LA CONVENCION','SANTA ANA',2,SI
70104,CALLAO,CALLAO,'LA PERLA',2,NO
21201,ANCASH,HUAYLAS,CARAZ,2,SI
150143,LIMA,LIMA,'VILLA MARIA DEL TRIUNFO',1,SI
150142,LIMA,LIMA,'VILLA EL SALVADOR',7,SI
21809,ANCASH,SANTA,'NUEVO CHIMBOTE',2,SI
60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,1,SI
200405,PIURA,MORROPON,MORROPON,1,SI
140108,LAMBAYEQUE,CHICLAYO,MONSEFU,1,SI
150113,LIMA,LIMA,'JESUS MARIA',2,SI
40303,AREQUIPA,CARAVELI,ATICO,1,SI
50110,AYACUCHO,HUAMANGA,'SAN JUAN BAUTISTA',2,SI
80101,CUSCO,CUSCO,CUSCO,2,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',3,SI
220601,'SAN MARTIN','MARISCAL CACERES',JUANJUI,2,SI
130101,'LA LIBERTAD',TRUJILLO,TRUJILLO,1,SI
150143,LIMA,LIMA,'VILLA MARIA DEL TRIUNFO',1,NO
230101,TACNA,TACNA,TACNA,2,NO
150110,LIMA,LIMA,COMAS,2,SI
90719,HUANCAVELICA,TAYACAJA,QUICHUAS,1,SI
150140,LIMA,LIMA,'SANTIAGO DE SURCO',1,SI
20701,ANCASH,'CARLOS FERMIN FITZCARRALD','SAN LUIS',3,SI
150110,LIMA,LIMA,COMAS,2,SI
40110,AREQUIPA,AREQUIPA,MIRAFLORES,2,SI
211101,PUNO,'SAN ROMAN',JULIACA,3,SI
150143,LIMA,LIMA,'VILLA MARIA DEL TRIUNFO',2,SI
140301,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,2,SI
110102,ICA,ICA,'LA TINGUIÑA',2,SI
60201,CAJAMARCA,CAJABAMBA,CAJABAMBA,1,NO
150801,LIMA,HUAURA,HUACHO,2,SI
80108,CUSCO,CUSCO,WANCHAQ,1,SI
130102,'LA LIBERTAD',TRUJILLO,'EL PORVENIR',3,SI
50108,AYACUCHO,HUAMANGA,QUINUA,3,SI
150111,LIMA,LIMA,'EL AGUSTINO',3,SI
160101,LORETO,MAYNAS,IQUITOS,1,SI
120401,JUNIN,JAUJA,JAUJA,1,NO
150119,LIMA,LIMA,LURIN,2,SI
60301,CAJAMARCA,CELENDIN,CELENDIN,1,SI
21809,ANCASH,SANTA,'NUEVO CHIMBOTE',2,SI
150103,LIMA,LIMA,ATE,4,SI
130102,'LA LIBERTAD',TRUJILLO,'EL PORVENIR',3,SI
130111,'LA LIBERTAD',TRUJILLO,'VICTOR LARCO HERRERA',3,SI
130101,'LA LIBERTAD',TRUJILLO,TRUJILLO,3,SI
40104,AREQUIPA,AREQUIPA,'CERRO COLORADO',1,SI
150135,LIMA,LIMA,'SAN MARTIN DE PORRES',2,NO
200101,PIURA,PIURA,PIURA,2,SI
150140,LIMA,LIMA,'SANTIAGO DE SURCO',1,SI
190110,PASCO,PASCO,TICLACAYAN,2,SI
50115,AYACUCHO,HUAMANGA,'JESUS NAZARENO',1,SI
90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,2,SI
120303,JUNIN,CHANCHAMAYO,PICHANAQUI,1,NO
130102,'LA LIBERTAD',TRUJILLO,'EL PORVENIR',1,NO
40702,AREQUIPA,ISLAY,COCACHACRA,1,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',2,SI
220801,'SAN MARTIN',RIOJA,RIOJA,1,SI
130101,'LA LIBERTAD',TRUJILLO,TRUJILLO,4,NO
150135,LIMA,LIMA,'SAN MARTIN DE PORRES',2,NO
40109,AREQUIPA,AREQUIPA,'MARIANO MELGAR',1,SI
150130,LIMA,LIMA,'SAN BORJA',2,SI
120701,JUNIN,TARMA,TARMA,1,SI
120905,JUNIN,CHUPACA,'HUAMANCACA CHICO',2,SI
100102,HUANUCO,HUANUCO,AMARILIS,2,SI
110106,ICA,ICA,PARCONA,1,SI
150129,LIMA,LIMA,'SAN BARTOLO',1,SI
60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,1,SI
70106,CALLAO,CALLAO,VENTANILLA,4,SI
220510,'SAN MARTIN',LAMAS,TABALOSOS,1,NO
150135,LIMA,LIMA,'SAN MARTIN DE PORRES',1,SI
150133,LIMA,LIMA,'SAN JUAN DE MIRAFLORES',2,NO
60801,CAJAMARCA,JAEN,JAEN,1,SI
150201,LIMA,BARRANCA,BARRANCA,4,NO
150117,LIMA,LIMA,'LOS OLIVOS',1,SI
140309,LAMBAYEQUE,LAMBAYEQUE,PACORA,1,SI
150135,LIMA,LIMA,'SAN MARTIN DE PORRES',1,SI
150140,LIMA,LIMA,'SANTIAGO DE SURCO',3,NO
211101,PUNO,'SAN ROMAN',JULIACA,1,SI
100608,HUANUCO,'LEONCIO PRADO','CASTILLO GRANDE',2,SI
21801,ANCASH,SANTA,CHIMBOTE,1,SI
110205,ICA,CHINCHA,'EL CARMEN',2,SI
150135,LIMA,LIMA,'SAN MARTIN DE PORRES',2,SI
60801,CAJAMARCA,JAEN,JAEN,5,SI
21201,ANCASH,HUAYLAS,CARAZ,1,SI
120114,JUNIN,HUANCAYO,'EL TAMBO',1,NO
150101,LIMA,LIMA,LIMA,2,NO
80101,CUSCO,CUSCO,CUSCO,1,SI
130208,'LA LIBERTAD',ASCOPE,'CASA GRANDE',1,SI
131002,'LA LIBERTAD','SANTIAGO DE CHUCO',ANGASMARCA,1,SI
200101,PIURA,PIURA,PIURA,2,SI
110305,ICA,NASCA,'VISTA ALEGRE',3,SI
200801,PIURA,SECHURA,SECHURA,2,SI
60801,CAJAMARCA,JAEN,JAEN,4,SI
150201,LIMA,BARRANCA,BARRANCA,2,SI
150805,LIMA,HUAURA,HUALMAY,1,SI
40104,AREQUIPA,AREQUIPA,'CERRO COLORADO',3,SI
190307,PASCO,OXAPAMPA,'VILLA RICA',2,SI
40110,AREQUIPA,AREQUIPA,MIRAFLORES,1,SI
40104,AREQUIPA,AREQUIPA,'CERRO COLORADO',1,SI
120801,JUNIN,YAULI,'LA OROYA',1,SI
100101,HUANUCO,HUANUCO,HUANUCO,1,SI
70101,CALLAO,CALLAO,CALLAO,1,SI
150122,LIMA,LIMA,MIRAFLORES,3,SI
130107,'LA LIBERTAD',TRUJILLO,MOCHE,4,SI
40122,AREQUIPA,AREQUIPA,SOCABAYA,2,SI
150801,LIMA,HUAURA,HUACHO,1,SI
150142,LIMA,LIMA,'VILLA EL SALVADOR',2,SI
140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,3,SI
150501,LIMA,CAÑETE,'SAN VICENTE DE CAÑETE',1,SI
150125,LIMA,LIMA,'PUENTE PIEDRA',1,SI
150118,LIMA,LIMA,LURIGANCHO,1,NO
150514,LIMA,CAÑETE,'SAN LUIS',1,SI
80101,CUSCO,CUSCO,CUSCO,2,SI
150117,LIMA,LIMA,'LOS OLIVOS',3,SI
120114,JUNIN,HUANCAYO,'EL TAMBO',2,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',3,SI
150106,LIMA,LIMA,CARABAYLLO,3,SI
150140,LIMA,LIMA,'SANTIAGO DE SURCO',2,SI
150122,LIMA,LIMA,MIRAFLORES,1,NO
150601,LIMA,HUARAL,HUARAL,1,NO
150106,LIMA,LIMA,CARABAYLLO,1,SI
30501,APURIMAC,COTABAMBAS,TAMBOBAMBA,2,NO
120101,JUNIN,HUANCAYO,HUANCAYO,1,NO
120101,JUNIN,HUANCAYO,HUANCAYO,2,SI
150117,LIMA,LIMA,'LOS OLIVOS',1,SI
150107,LIMA,LIMA,CHACLACAYO,1,SI
150135,LIMA,LIMA,'SAN MARTIN DE PORRES',1,SI
120114,JUNIN,HUANCAYO,'EL TAMBO',2,SI
40103,AREQUIPA,AREQUIPA,CAYMA,1,SI
60312,CAJAMARCA,CELENDIN,'LA LIBERTAD DE PALLAN',1,NO
21101,ANCASH,HUARMEY,HUARMEY,2,SI
160101,LORETO,MAYNAS,IQUITOS,1,SI
170101,'MADRE DE DIOS',TAMBOPATA,TAMBOPATA,1,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',1,SI
110112,ICA,ICA,SUBTANJALLA,1,SI
70102,CALLAO,CALLAO,BELLAVISTA,2,SI
120107,JUNIN,HUANCAYO,CHILCA,3,SI
150143,LIMA,LIMA,'VILLA MARIA DEL TRIUNFO',4,SI
150143,LIMA,LIMA,'VILLA MARIA DEL TRIUNFO',1,SI
50401,AYACUCHO,HUANTA,HUANTA,1,SI
200501,PIURA,PAITA,PAITA,1,SI
140108,LAMBAYEQUE,CHICLAYO,MONSEFU,2,SI
21809,ANCASH,SANTA,'NUEVO CHIMBOTE',2,SI
150123,LIMA,LIMA,PACHACAMAC,2,SI
150142,LIMA,LIMA,'VILLA EL SALVADOR',3,SI
150117,LIMA,LIMA,'LOS OLIVOS',2,SI
40110,AREQUIPA,AREQUIPA,MIRAFLORES,2,SI
40129,AREQUIPA,AREQUIPA,'JOSE LUIS BUSTAMANTE Y RIVERO',2,SI
50110,AYACUCHO,HUAMANGA,'SAN JUAN BAUTISTA',1,SI
30213,APURIMAC,ANDAHUAYLAS,'SAN JERONIMO',2,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',2,SI
150111,LIMA,LIMA,'EL AGUSTINO',1,SI
200601,PIURA,SULLANA,SULLANA,4,NO
130101,'LA LIBERTAD',TRUJILLO,TRUJILLO,1,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',2,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',1,NO
200706,PIURA,TALARA,MANCORA,2,SI
70106,CALLAO,CALLAO,VENTANILLA,2,SI
60901,CAJAMARCA,'SAN IGNACIO','SAN IGNACIO',1,SI
200702,PIURA,TALARA,'EL ALTO',2,SI
150101,LIMA,LIMA,LIMA,3,SI
150140,LIMA,LIMA,'SANTIAGO DE SURCO',1,NO
220808,'SAN MARTIN',RIOJA,YORONGOS,1,SI
150101,LIMA,LIMA,LIMA,1,SI
150135,LIMA,LIMA,'SAN MARTIN DE PORRES',3,SI
180301,MOQUEGUA,ILO,ILO,2,SI
210101,PUNO,PUNO,PUNO,1,SI
40102,AREQUIPA,AREQUIPA,'ALTO SELVA ALEGRE',1,SI
150109,LIMA,LIMA,CIENEGUILLA,1,SI
100101,HUANUCO,HUANUCO,HUANUCO,2,SI
150113,LIMA,LIMA,'JESUS MARIA',2,NO
50115,AYACUCHO,HUAMANGA,'JESUS NAZARENO',1,SI
200602,PIURA,SULLANA,BELLAVISTA,2,SI
80101,CUSCO,CUSCO,CUSCO,2,SI
80104,CUSCO,CUSCO,'SAN JERONIMO',1,SI
61001,CAJAMARCA,'SAN MARCOS','PEDRO GALVEZ',1,SI
150132,LIMA,LIMA,'SAN JUAN DE LURIGANCHO',2,SI
120808,JUNIN,YAULI,'SANTA ROSA DE SACCO',1,NO
40208,AREQUIPA,CAMANA,'SAMUEL PASTOR',2,SI
130401,'LA LIBERTAD',CHEPEN,CHEPEN,2,SI
80104,CUSCO,CUSCO,'SAN JERONIMO',1,SI
150114,LIMA,LIMA,'LA MOLINA',3,SI
211101,PUNO,'SAN ROMAN',JULIACA,1,SI
210709,PUNO,LAMPA,'SANTA LUCIA',1,SI
150103,LIMA,LIMA,ATE,1,SI
21809,ANCASH,SANTA,'NUEVO CHIMBOTE',1,SI
40104,AREQUIPA,AREQUIPA,'CERRO COLORADO',1,NO
150501,LIMA,CAÑETE,'SAN VICENTE DE CAÑETE',2,SI
40104,AREQUIPA,AREQUIPA,'CERRO COLORADO',1,SI
150137,LIMA,LIMA,'SANTA ANITA',2,SI
130102,'LA LIBERTAD',TRUJILLO,'EL PORVENIR',2,SI
150501,LIMA,CAÑETE,'SAN VICENTE DE CAÑETE',1,SI
131006,'LA LIBERTAD','SANTIAGO DE CHUCO',QUIRUVILCA,1,SI
150143,LIMA,LIMA,'VILLA MARIA DEL TRIUNFO',2,SI
150110,LIMA,LIMA,COMAS,2,SI
40104,AREQUIPA,AREQUIPA,'CERRO COLORADO',1,NO
200105,PIURA,PIURA,CATACAOS,2,SI
150108,LIMA,LIMA,CHORRILLOS,1,SI
150125,LIMA,LIMA,'PUENTE PIEDRA',2,SI
150143,LIMA,LIMA,'VILLA MARIA DEL TRIUNFO',3,SI
20801,ANCASH,CASMA,CASMA,1,SI
50110,AYACUCHO,HUAMANGA,'SAN JUAN BAUTISTA',4,SI
200601,PIURA,SULLANA,SULLANA,1,SI
40702,AREQUIPA,ISLAY,COCACHACRA,3,SI
150601,LIMA,HUARAL,HUARAL,2,SI
221001,'SAN MARTIN',TOCACHE,TOCACHE,2,NO
40103,AREQUIPA,AREQUIPA,CAYMA,2,SI
21809,ANCASH,SANTA,'NUEVO CHIMBOTE',2,NO
150115,LIMA,LIMA,'LA VICTORIA',2,SI
150142,LIMA,LIMA,'VILLA EL SALVADOR',1,NO
150121,LIMA,LIMA,'PUEBLO LIBRE',1,NO
150140,LIMA,LIMA,'SANTIAGO DE SURCO',1,SI
